source_file,source_abs,source_lines,instrumented_lines,covered_lines,missed_instrumented_lines,line_coverage_pct,functions,covered_functions,function_coverage_pct,max_line_freq,sum_line_freq,page
src/chemistry/aerosol/cldaero_mod.F90,iCESM1.3.1_PI_atm/components/cam/src/chemistry/aerosol/cldaero_mod.F90,148,38,38,0,100.0,3,3,100.0,25067520,142877297,38ee46583f_cldaero_mod.F90.html
src/chemistry/aerosol/drydep_mod.F90,iCESM1.3.1_PI_atm/components/cam/src/chemistry/aerosol/drydep_mod.F90,268,27,25,2,92.5925925925926,2,2,100.0,705126,13650042,f5eb4711e1_drydep_mod.F90.html
src/chemistry/aerosol/dust_common.F90,iCESM1.3.1_PI_atm/components/cam/src/chemistry/aerosol/dust_common.F90,253,41,30,11,73.17073170731707,1,1,100.0,204800,1664512,7f01752d3f_dust_common.F90.html
src/chemistry/aerosol/dust_sediment_mod.F90,iCESM1.3.1_PI_atm/components/cam/src/chemistry/aerosol/dust_sediment_mod.F90,501,76,73,3,96.05263157894737,4,4,100.0,18403788600,83386777860,cdfb0c4274_dust_sediment_mod.F90.html
src/chemistry/aerosol/mo_setsox.F90,iCESM1.3.1_PI_atm/components/cam/src/chemistry/aerosol/mo_setsox.F90,867,166,144,22,86.74698795180723,2,2,100.0,25690924,1198588436,25979213f7_mo_setsox.F90.html
src/chemistry/aerosol/soil_erod_mod.F90,iCESM1.3.1_PI_atm/components/cam/src/chemistry/aerosol/soil_erod_mod.F90,121,38,34,4,89.47368421052632,1,1,100.0,73728,174089,83f7d96d39_soil_erod_mod.F90.html
src/chemistry/aerosol/sslt_sections.F90,iCESM1.3.1_PI_atm/components/cam/src/chemistry/aerosol/sslt_sections.F90,120,34,34,0,100.0,2,2,100.0,21858906,58025242,bdd4c164f3_sslt_sections.F90.html
src/chemistry/aerosol/wetdep.F90,iCESM1.3.1_PI_atm/components/cam/src/chemistry/aerosol/wetdep.F90,1163,83,77,6,92.7710843373494,4,4,100.0,766771200,18796183741,e9e3ce19b9_wetdep.F90.html
src/chemistry/modal_aero/aero_model.F90,iCESM1.3.1_PI_atm/components/cam/src/chemistry/modal_aero/aero_model.F90,2343,637,558,79,87.59811616954474,14,14,100.0,423075600,17726953274,0fb8a4360c_aero_model.F90.html
src/chemistry/modal_aero/dust_model.F90,iCESM1.3.1_PI_atm/components/cam/src/chemistry/modal_aero/dust_model.F90,168,31,30,1,96.7741935483871,3,3,100.0,5641008,15604046,d97101858e_dust_model.F90.html
src/chemistry/modal_aero/modal_aero_coag.F90,iCESM1.3.1_PI_atm/components/cam/src/chemistry/modal_aero/modal_aero_coag.F90,2863,212,143,69,67.45283018867924,4,4,100.0,423075600,2351794935,137a7a61fb_modal_aero_coag.F90.html
src/chemistry/modal_aero/modal_aero_data.F90,iCESM1.3.1_PI_atm/components/cam/src/chemistry/modal_aero/modal_aero_data.F90,408,13,10,3,76.92307692307692,2,2,100.0,10367766,70505604,53f71c94cd_modal_aero_data.F90.html
src/chemistry/modal_aero/modal_aero_gasaerexch.F90,iCESM1.3.1_PI_atm/components/cam/src/chemistry/modal_aero/modal_aero_gasaerexch.F90,1521,323,213,110,65.94427244582043,4,4,100.0,423075600,8018909682,0c97ea5888_modal_aero_gasaerexch.F90.html
src/chemistry/modal_aero/modal_aero_initialize_data.F90,iCESM1.3.1_PI_atm/components/cam/src/chemistry/modal_aero/modal_aero_initialize_data.F90,986,282,242,40,85.81560283687944,6,6,100.0,7372800,11482225,72b75dd0e5_modal_aero_initialize_data.F90.html
